timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
35,322.44,veh7,2582.43,652.2
35,79.78,veh8,268.48,1213.13
35,225.03,veh9,2282.49,1362.89
36,219.56,bus0,2497.46,1008.2
36,175.37,bus1,672.35,1359
36,76.44,bus2,567.83,1394.56
36,4.34,bus3,946.16,1287.82
36,141.36,bus4,2040.36,707.57
36,317.61,veh0,2090.51,660.02
36,114.44,veh1,1351.37,1392.33
36,183.74,veh10,2334.3,588.71
36,355.27,veh11,986.93,796.6
36,266.43,veh12,2508.93,486.55
36,147.95,veh13,1511.77,868.81
36,355.21,veh14,1181.69,500.26
36,85.28,veh16,516.33,956.21
36,262.82,veh17,1540.4,547.66
36,284.94,veh2,2297.01,499.71
36,81.95,veh3,1373.42,702.13
36,82.52,veh4,828.3,852.56
36,79.78,veh5,296.32,1218.15
36,50.66,veh6,682.19,1264.31
36,284.11,veh7,2576.52,654.16
36,79.78,veh8,276.11,1214.5
36,224.74,veh9,2275.01,1355.38
37,219.57,bus0,2497.4,1008.14
37,175.7,bus1,673.28,1346.6
37,76.44,bus2,577.87,1396.98
37,4.48,bus3,946.2,1288
37,141.36,bus4,2043.18,704.04
37,321.92,veh0,2083.41,668.64
37,117.59,veh1,1358.11,1388.96
37,183.74,veh10,2333.77,580.66
37,355.27,veh11,986.29,804.37
37,266.52,veh12,2494.94,485.68
37,148.32,veh13,1516.53,861.11
37,355.21,veh14,1181.09,507.47
37,84.98,veh16,521.95,956.71
37,254.04,veh17,1538.42,546.8
37,284.94,veh2,2285.96,502.65
37,85.32,veh3,1381.06,702.76
37,69.68,veh4,835.77,855.05
37,79.78,veh5,303.07,1219.36
37,129.35,veh6,685.61,1261.84
37,251.39,veh7,2570.5,652.3
37,79.78,veh8,283.22,1215.79
37,224.73,veh9,2267.48,1347.78
38,219.57,bus0,2497.37,1008.1
38,175.7,bus1,674.29,1333.19
38,76.44,bus2,588.62,1399.57
38,4.54,bus3,946.21,1288.08
38,141.36,bus4,2046.66,699.68
38,321.92,veh0,2075.24,679.06
38,125.99,veh1,1363.49,1385.06
38,183.74,veh10,2333.23,572.45
38,355.27,veh11,985.69,811.62
38,266.44,veh12,2481.39,484.84
38,148.32,veh13,1521.13,853.65
38,355.21,veh14,1180.5,514.56
38,84.98,veh16,529.47,957.37
38,246.31,veh17,1535.19,545.38
38,309.2,veh18,2616.97,1191.53
38,284.94,veh2,2274.08,509.14
38,85.32,veh3,1389.21,703.42
38,57.3,veh4,841.91,858.71
38,79.78,veh5,308.97,1220.43
38,200.92,veh6,683.91,1256.53
38,248.21,veh7,2563.83,649.63
38,79.78,veh8,290.37,1217.07
38,224.73,veh9,2259.94,1340.16
39,219.57,bus0,2497.36,1008.09
39,167.95,bus1,676.94,1319.83
39,76.44,bus2,600,1402.32
39,4.83,bus3,946.34,1289.32
39,141.36,bus4,2050.54,694.82
39,128.16,bus5,2566.55,1210.68
39,321.92,veh0,2066.83,689.8
39,123.78,veh1,1369.16,1381.19
39,183.74,veh10,2332.67,563.84
39,355.27,veh11,985.02,819.71
39,265.07,veh12,2467.26,483.72
39,148.32,veh13,1525.77,846.13
39,355.22,veh14,1179.85,522.27
39,84.98,veh16,536.6,957.99
39,237.22,veh17,1530.18,542.25
39,316.18,veh18,2608.26,1199.41
39,284.94,veh2,2260.61,512.73
39,85.41,veh3,1399.04,704.22
39,71.97,veh4,846.91,860.46
39,79.78,veh5,314.88,1221.49
39,175.2,veh6,683.61,1248.71
39,248.21,veh7,2557.53,647.11
39,79.78,veh8,297.33,1218.33
39,224.73,veh9,2251.67,1331.81
40,219.73,bus0,2496.58,1007.18
40,167.95,bus1,679.82,1306.35
40,76.46,bus2,612.04,1405.21
40,358.23,bus3,945.09,1290.97
40,141.36,bus4,2054.88,689.4
40,128.16,bus5,2567.45,1209.97
40,321.36,veh0,2058.11,700.73
40,117.94,veh1,1375.85,1377.63
40,183.74,veh10,2332.16,556.01
40,355.27,veh11,984.34,827.9
40,264.67,veh12,2453.83,482.47
40,148.31,veh13,1530.67,838.19
40,355.22,veh14,1179.26,529.33
40,84.98,veh16,544.11,958.65
40,237.22,veh17,1524.92,538.86
40,307.77,veh18,2598.48,1206.99
40,228.29,veh19,572.22,1075.37
40,284.94,veh2,2247.89,516.12
40,85.32,veh3,1411.14,705.21
40,157.66,veh4,849.82,855.7
40,79.78,veh5,320.65,1222.53
40,175.2,veh6,684.4,1239.28
40,249.63,veh7,2550.85,644.58
40,79.78,veh8,304.13,1219.56
40,224.33,veh9,2244.04,1324.07
41,220.01,bus0,2495.2,1005.57
41,175.53,bus1,681.06,1292.96
41,92.07,bus2,625.29,1405.08
41,337.3,bus3,943.1,1288.81
41,141.46,bus4,2059.66,683.39
41,128.16,bus5,2569.3,1208.52
41,321.36,veh0,2049.44,711.57
41,117.94,veh1,1382.74,1373.98
41,187.34,veh10,2331.3,548.24
41,355.27,veh11,983.67,836.05
41,264.67,veh12,2440.55,481.23
41,148.32,veh13,1535.1,831.01
41,355.22,veh14,1178.65,536.65
41,84.98,veh16,550.68,959.23
41,237.22,veh17,1519.44,535.33
41,307.77,veh18,2588.59,1214.65
41,228.29,veh19,570.3,1073.65
41,284.94,veh2,2234.38,519.73
41,83.72,veh3,1424.95,706.48
41,176.46,veh4,850.25,849.39
41,79.78,veh5,326.99,1223.68
41,175.2,veh6,685.34,1228.13
41,250.25,veh7,2544.96,642.45
41,79.78,veh8,310.39,1220.68
41,225.11,veh9,2235.98,1315.98
42,220.98,bus0,2492.98,1003.16
42,176.51,bus1,681.88,1279.47
42,76.89,bus2,638.64,1408.18
42,236.67,bus3,942.5,1284.68
42,141.87,bus4,2064.92,676.68
42,128.16,bus5,2571.74,1206.6
42,321.36,veh0,2040.59,722.65
42,118.44,veh1,1389.47,1370.36
42,187.34,veh10,2330.18,539.55
42,355.27,veh11,983.01,843.98
42,270.97,veh12,2426.6,480.76
42,148.32,veh13,1539.79,823.42
42,355.22,veh14,1177.98,544.61
42,85.03,veh16,557.13,959.79
42,237.22,veh17,1513.79,531.7
42,307.77,veh18,2578.49,1222.48
42,227.89,veh19,566.5,1070.22
42,292.87,veh2,2222.96,523.61
42,54.54,veh20,706.86,1191.37
42,79.48,veh3,1439.74,709.23
42,176.46,veh4,850.73,841.68
42,79.82,veh5,333.77,1224.9
42,175.2,veh6,686.43,1215.21
42,251.59,veh7,2538.33,640.24
42,79.78,veh8,317.1,1221.89
42,225.11,veh9,2227.93,1307.96
43,222.98,bus0,2489.9,1000.17
43,168.26,bus1,684.39,1266.43
43,79.94,bus2,649.66,1410.1
43,190.76,bus3,942.22,1279.36
43,141.93,bus4,2070.68,669.32
43,128.16,bus5,2574.88,1204.13
43,321.24,veh0,2031.83,733.59
43,123.6,veh1,1395.46,1366.41
43,187.34,veh10,2329.07,530.87
43,355.27,veh11,982.34,852.09
43,270.97,veh12,2413.1,480.98
43,148.32,veh13,1544.24,816.2
43,355.22,veh14,1177.59,549.3
43,84.95,veh16,564.24,960.42
43,237.22,veh17,1508.24,528.12
43,307.77,veh18,2568.24,1230.43
43,227.51,veh19,560.88,1065.07
43,299.41,veh2,2212.02,529.79
43,54.54,veh20,708.12,1192.26
43,85.56,veh3,1453.22,712.16
43,176.46,veh4,851.32,832.08
43,79.92,veh5,339.66,1225.94
43,175.2,veh6,687.41,1203.47
43,251.59,veh7,2531.74,638.05
43,79.78,veh8,324.78,1223.28
43,225.11,veh9,2219.59,1299.65
44,225.33,bus0,2486.2,996.62
44,188.44,bus1,683.24,1253.12
44,90.45,bus2,660.31,1409.81
44,182.96,bus3,941.9,1273.17
44,141.93,bus4,2076.11,662.39
44,128.16,bus5,2578.69,1201.14
44,321.09,veh0,2024.45,742.73
44,123.6,veh1,1401.89,1362.13
44,189.7,veh10,2327.76,522.61
44,355.27,veh11,981.67,860.19
44,272.99,veh12,2399.45,481.39
44,148.32,veh13,1547.12,811.53
44,355.3,veh14,1177.1,555.29
44,84.99,veh16,571.57,961.06
44,237.22,veh17,1502.4,524.36
44,307.77,veh18,2559.95,1236.84
44,227.51,veh19,555.15,1059.82
44,299.51,veh2,2200,536.58
44,54.54,veh20,710.43,1193.91
44,352.85,veh21,959.3,1004.2
44,70.79,veh3,1467.62,717.06
44,176.46,veh4,852.04,820.48
44,79.92,veh5,345.48,1226.98
44,167.87,veh6,688.67,1196.05
44,251.59,veh7,2525.28,635.9
44,79.78,veh8,330.51,1224.31
44,225,veh9,2211.83,1291.9
45,227.19,bus0,2481.49,992.39
45,175.2,bus1,684.37,1239.67
45,130.28,bus2,667.71,1402.74
45,182.96,bus3,941.52,1265.81
