timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
34,331.4,veh7,587.88,707.86
34,143.79,veh8,838.5,1141.8
34,342.11,veh9,1787.75,554.7
35,58.83,veh0,1205.6,573.27
35,305.36,veh1,2118.49,1851.57
35,340.32,veh10,1799.26,521.07
35,130.9,veh11,409.45,807.49
35,341.01,veh13,1806.1,501.37
35,175.34,veh14,1619.48,1575.79
35,266.57,veh15,690.15,1436.95
35,341.04,veh16,1816.13,472.21
35,188.78,veh17,590.43,1715.39
35,100.76,veh18,337.94,1459.76
35,221.63,veh19,2259.86,1714.34
35,123.91,veh2,2182.31,1803.26
35,82.11,veh21,1607.03,952.37
35,293.45,veh22,1288.6,314.82
35,266.41,veh23,790.46,1443.18
35,234.34,veh24,2309.98,1750.61
35,54.05,veh26,405.49,588.43
35,227.26,veh3,2469.32,1338.3
35,303.44,veh4,2403.99,1388.91
35,145.69,veh5,628.12,1431.49
35,331.4,veh7,587.88,707.86
35,143.79,veh8,845.12,1132.74
35,341.15,veh9,1783.93,565.91
36,58.83,veh0,1217.56,580.5
36,305.36,veh1,2112.92,1855.52
36,339.51,veh10,1795.26,531.76
36,135.03,veh11,419.24,797.69
36,341.01,veh13,1802.28,512.46
36,175.3,veh14,1620.13,1567.87
36,266.57,veh15,681.82,1436.45
36,341.01,veh16,1811.87,484.58
36,188.81,veh17,588.65,1703.85
36,79.15,veh18,343.32,1460.62
36,201.63,veh19,2255.63,1703.67
36,125.87,veh2,2188.8,1798.57
36,82.11,veh21,1614.75,953.44
36,293.45,veh22,1273.85,321.21
36,266.41,veh23,782.7,1442.7
36,234.34,veh24,2298.93,1742.68
36,54.05,veh26,411.21,592.58
36,227.26,veh3,2463.53,1332.95
36,303.22,veh4,2397.83,1392.95
36,144.66,veh5,634.67,1422.17
36,331.4,veh7,587.88,707.86
36,143.79,veh8,852.37,1122.85
36,347.16,veh9,1780.5,578.28
37,58.83,veh0,1227.64,586.6
37,304.08,veh1,2106.93,1859.63
37,340.41,veh10,1791.39,542.33
37,134.88,veh11,427.74,789.23
37,339.52,veh13,1798.37,523.44
37,175.29,veh14,1620.84,1559.24
37,266.57,veh15,673.55,1435.95
37,341.01,veh16,1807.7,496.71
37,188.81,veh17,586.83,1692.1
37,17.07,veh18,345.29,1465.89
37,182.86,veh19,2254.03,1690.92
37,126.42,veh2,2195.56,1793.62
37,82.11,veh21,1622.06,954.46
37,293.45,veh22,1259.62,327.39
37,266.41,veh23,774.65,1442.19
37,242.11,veh24,2287.17,1734.93
37,54.05,veh26,417.42,597.08
37,54.05,veh27,405.49,588.43
37,252.74,veh28,1212.94,1829.27
37,225.93,veh3,2457.18,1326.92
37,303.22,veh4,2390.74,1397.59
37,144.66,veh5,640.65,1413.72
37,331.4,veh7,587.88,707.86
37,143.79,veh8,858.87,1113.96
37,347.16,veh9,1778.58,586.72
38,58.83,veh0,1233.89,590.38
38,303.54,veh1,2101.34,1863.35
38,342.79,veh10,1788.08,553.74
38,134.95,veh11,433.07,783.91
38,339.51,veh13,1794.66,533.36
38,175.29,veh14,1621.32,1553.47
38,266.57,veh15,664.84,1435.43
38,341.01,veh16,1803.49,508.95
38,188.9,veh17,584.98,1680.23
38,355.54,veh18,344.97,1472.42
38,175.19,veh19,2254.23,1678.65
38,126.42,veh2,2201.46,1789.27
38,82.11,veh21,1629.61,955.5
38,293.45,veh22,1244.92,333.76
38,266.41,veh23,767.16,1441.72
38,240.17,veh24,2274.97,1728.37
38,54.05,veh26,423.91,601.79
38,54.05,veh27,411.12,592.52
38,252.74,veh28,1206.61,1827.3
38,225.89,veh3,2450.9,1320.84
38,303.22,veh4,2383.61,1402.26
38,144.66,veh5,647.01,1404.76
38,331.4,veh7,587.88,707.86
38,143.79,veh8,865.72,1104.6
38,347.11,veh9,1777.64,590.81
39,54.31,veh0,1242.04,595.94
39,303.51,veh1,2095.22,1867.4
39,341.15,veh10,1784.35,564.67
39,123.22,veh11,438.56,780.05
39,342.98,veh13,1790.71,544.8
39,175.35,veh14,1621.97,1545.51
39,266.57,veh15,656.17,1434.91
39,340.3,veh16,1799.24,521.12
39,188.9,veh17,583.13,1668.4
39,354.49,veh18,344.34,1478.93
39,175.19,veh19,2255.24,1666.63
39,124.75,veh2,2207.34,1785.11
39,82.11,veh21,1636.53,956.46
39,293.45,veh22,1230.54,340
